epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,327.316,0.19979,0.29689,0.78612,0.97264,0.98375,0.98882,0.98781,0.15626,0.2475,0.76682,0.000304601,0.000304601,0.000304601
63,332.505,0.20309,0.3024,0.79066,0.96342,0.98127,0.98517,0.9839,0.144,0.2483,0.76524,0.000296988,0.000296988,0.000296988
64,337.505,0.20241,0.31034,0.79042,0.96677,0.98766,0.9833,0.98228,0.15413,0.25715,0.76811,0.000289375,0.000289375,0.000289375
65,342.315,0.20073,0.28589,0.79041,0.96843,0.98631,0.98175,0.9809,0.14331,0.25471,0.76627,0.000281762,0.000281762,0.000281762
66,347.407,0.19142,0.29112,0.79023,0.97564,0.98143,0.98155,0.98037,0.14888,0.26266,0.76683,0.000274148,0.000274148,0.000274148
67,352.376,0.19885,0.31811,0.7894,0.96816,0.98754,0.98437,0.98343,0.14617,0.24083,0.76487,0.000266535,0.000266535,0.000266535
68,357.688,0.19193,0.30077,0.79325,0.9812,0.97016,0.98499,0.98373,0.14795,0.27598,0.76663,0.000258922,0.000258922,0.000258922
69,362.554,0.19154,0.28267,0.78912,0.97763,0.97603,0.98208,0.98034,0.14596,0.25149,0.76656,0.000251309,0.000251309,0.000251309
70,367.63,0.19069,0.2719,0.78878,0.96447,0.9907,0.98928,0.98863,0.15032,0.23757,0.76511,0.000243696,0.000243696,0.000243696
71,372.732,0.19454,0.29062,0.79144,0.97037,0.98775,0.9873,0.98654,0.1454,0.25532,0.7649,0.000236083,0.000236083,0.000236083
72,377.526,0.18897,0.28447,0.7861,0.97172,0.98279,0.98585,0.985,0.14213,0.2346,0.76528,0.00022847,0.00022847,0.00022847
73,382.479,0.18499,0.27217,0.79055,0.97629,0.97381,0.98383,0.98298,0.13858,0.25528,0.76623,0.000220857,0.000220857,0.000220857
74,387.205,0.19258,0.27404,0.78808,0.97168,0.981,0.98475,0.98349,0.13396,0.24477,0.7651,0.000213244,0.000213244,0.000213244
75,392.063,0.18369,0.27914,0.78991,0.9781,0.9772,0.98324,0.98227,0.1371,0.25211,0.76511,0.000205631,0.000205631,0.000205631
76,397.386,0.18695,0.27643,0.78994,0.98038,0.97628,0.9838,0.98302,0.14093,0.2562,0.76569,0.000198018,0.000198018,0.000198018
77,402.05,0.18004,0.26267,0.78746,0.96851,0.98109,0.98675,0.98626,0.13096,0.23654,0.76406,0.000190404,0.000190404,0.000190404
78,406.843,0.1768,0.26386,0.78758,0.96496,0.98791,0.98733,0.98665,0.12664,0.22523,0.76386,0.000182791,0.000182791,0.000182791
79,411.619,0.17993,0.26789,0.78597,0.96758,0.98954,0.98628,0.98559,0.12337,0.22557,0.76324,0.000175178,0.000175178,0.000175178
80,416.21,0.17678,0.26088,0.78587,0.97391,0.98871,0.98594,0.98531,0.12921,0.22655,0.76398,0.000167565,0.000167565,0.000167565
81,420.765,0.17647,0.25945,0.78789,0.97598,0.98954,0.98624,0.9853,0.12571,0.2193,0.7636,0.000159952,0.000159952,0.000159952
82,425.442,0.18416,0.26492,0.79024,0.97793,0.9882,0.98553,0.98456,0.12751,0.22435,0.76385,0.000152339,0.000152339,0.000152339
83,430.018,0.17867,0.25758,0.78757,0.97049,0.98614,0.98542,0.98459,0.13104,0.2219,0.76363,0.000144726,0.000144726,0.000144726
84,434.747,0.16968,0.25136,0.78928,0.96911,0.98319,0.98466,0.98422,0.12322,0.22489,0.76356,0.000137113,0.000137113,0.000137113
85,439.492,0.17791,0.25439,0.79039,0.97116,0.98324,0.98541,0.98481,0.12292,0.22595,0.7637,0.0001295,0.0001295,0.0001295
86,444.277,0.17306,0.25803,0.78788,0.97042,0.98384,0.98439,0.98352,0.12264,0.23328,0.76326,0.000121887,0.000121887,0.000121887
87,449.338,0.16987,0.26548,0.78635,0.96429,0.98407,0.98502,0.98412,0.12346,0.2301,0.76361,0.000114273,0.000114273,0.000114273
88,453.99,0.1716,0.24669,0.78506,0.96221,0.98708,0.98474,0.98356,0.12244,0.22441,0.76271,0.00010666,0.00010666,0.00010666
89,458.991,0.16831,0.24665,0.7849,0.96394,0.98703,0.98425,0.98354,0.11875,0.22488,0.76211,9.90472e-05,9.90472e-05,9.90472e-05
90,463.56,0.16397,0.24236,0.7825,0.96383,0.98499,0.9856,0.985,0.11395,0.22211,0.76279,9.14341e-05,9.14341e-05,9.14341e-05
